"Trait","Sex","H2","Vp","Vg","Ve","Genot","N_unique_genot","Min_rep_genot","N_rep_genot","Warnings"
"CCRT","F",0.11,432063.928254893,46998.6394067347,385065.288848158,"Line",172,1,172,"NA"
"CCRT","M",0.16,395737.560138681,63984.7152053092,331752.844933372,"Line",172,1,172,"NA"
"CSM","F",0.08,0.124581885534315,0.00937067536008659,0.115211210174229,"Line",172,1,172,"NA"
"CSM","M",0.14,0.12309875100502,0.0175584200480376,0.105540330956983,"Line",172,1,172,"NA"
"Dia","F",0.08,0.131753051268891,0.0110773033517088,0.120675747917183,"Line",168,1,168,"NA"
"DT_A","F",0.09,535.235150079081,49.7397184161016,485.49543166298,"Line",171,1,171,"NA"
"DT_A","M",0.09,599.921067884572,54.1703085384322,545.75075934614,"Line",171,1,171,"NA"
"DT_P","NA",0.59,289.920087035634,170.843879520638,119.076207514996,"Line",161,1,161,"NA"
"DW","F",0.24,0.0043378724624274,0.00104402965104098,0.00329384281138642,"Line",169,1,169,"NA"
"DW","M",0.24,0.00121461676932506,0.000291455968057769,0.000923160801267288,"Line",169,1,169,"NA"
"Fec","F",0.12,3103.52356287633,377.374729955053,2726.14883292128,"Line",169,1,169,"NA"
"HSM","F",0.22,6589.82161395693,1452.77200269633,5137.0496112606,"Line",171,1,171,"NA"
"HSM","M",0.25,8417.70197047162,2141.48498622562,6276.216984246,"Line",171,1,171,"NA"
"LA_AbsPhase","M",0.01,21.7886487211333,0.292963405839933,21.4956853152934,"Line",92,1,92,"NA"
"LA_Activity","M",0.44,128.882976803689,56.7425709408254,72.1404058628641,"Line",92,1,92,"NA"
"LA_CircPhase","M",0.03,48.0999704881933,1.66633641521719,46.4336340729761,"Line",92,1,92,"NA"
"LA_ND_log2","M",0.31,0.333242076601394,0.102268102551369,0.230973974050024,"Line",91,1,91,"NA"
"LA_Period","M",0.03,3.38949043232055,0.0872924374379203,3.30219799488263,"Line",92,1,92,"NA"
"LSL","F",0.08,328.478223605582,25.0825781327174,303.395645472865,"Line",171,1,171,"NA"
"LSL","M",0.08,394.288972807041,32.2681124723803,362.020860334661,"Line",171,1,171,"NA"
"Pgm_T4","F",0.15,0.0200017963358175,0.00292215333581818,0.0170796429999993,"Line",169,1,169,"NA"
"Pgm_T5","F",0.16,0.0611865589326998,0.00965203962291592,0.0515345193097839,"Line",169,1,169,"NA"
"Pgm_T6","F",0.29,0.0908278745326983,0.0262304501714943,0.064597424361204,"Line",169,1,169,"NA"
"Pgm_Total","F",0.25,0.0270285320833329,0.0068036824640605,0.0202248496192724,"Line",169,1,169,"NA"
"SR","F",0.21,671.263624801459,142.330152239324,528.933472562135,"Line",171,1,171,"NA"
"SR","M",0.2,378.850489789914,74.8620168585482,303.988472931366,"Line",171,1,171,"NA"
"TL","F",0.24,4412.76466441527,1056.83563411439,3355.92903030088,"Line",166,1,166,"NA"
"TL","M",0.29,3876.64085532357,1141.87508688912,2734.76576843445,"Line",140,1,140,"NA"
"Via","NA",0.25,0.0409745578498653,0.0103698144747654,0.0306047433750999,"Line",172,1,172,"NA"
"WA_L","F",0.28,15127.7801350685,4189.82185021527,10937.9582848533,"Line",172,1,172,"NA"
"WA_L","M",0.27,10613.8373492701,2829.26961529805,7784.56773397204,"Line",172,1,172,"NA"
"WA_R","F",0.28,14973.6874790377,4180.90324565215,10792.7842333855,"Line",172,1,172,"NA"
"WA_R","M",0.27,10586.91919867,2890.85432203825,7696.06487663178,"Line",172,1,172,"NA"
