"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Flatt","S","F","1",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",1,"",5327
"Flatt","S","M","1",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",1,"",5285
"Parsch","NS","F","1",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",1,"",3482
"Parsch","NS","F","2",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",1,"",3058
"Parsch","NS","M","1",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",1,"",3292
"Parsch","NS","M","2",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",1,"",2972
"Pasyukova","S","F","1",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",1,"",5070
"Pasyukova","S","F","2",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",1,"",8450
"Pasyukova","S","M","1",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",1,"",5070
"Pasyukova","S","M","2",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",1,"",8450
