"Supervisor.PI","Diet","Batch","Population","Line","Sex","condition","TotalNumberOfFlies","ZT_hours_MESA","ZT_hours_LSPR","Period_MESA","Period_LSPR","Rhythmicity_LSPR_amplitude","Rhythmicity_JTK_p_BH_corrected","Country","Latitude","Longitude","Altitude"
"Wegener","NS",2,"AK","mixed population","mixed sex","18_LD_DD",1897,6.16,5.51,24.22,24.44,11.66,5.26e-24,"Finland",61.1,23.52,88
"Wegener","NS",2,"GI","mixed population","mixed sex","18_LD_DD",793,3.49,3.49,24.82,24.82,6.55,6.27e-22,"Spain",41.618,0.62,173
"Wegener","NS",2,"KA","mixed population","mixed sex","18_LD_DD",1938,7.01,4.67,24.06,24.76,9.75,6.76e-14,"Denmark",55.945,10.213,15
"Wegener","NS",2,"MA","mixed population","mixed sex","18_LD_DD",1355,9.79,10.49,23.3,23.12,7.47,2.92e-09,"Austria",48.375,15.56,572
"Wegener","NS",3,"MU","mixed population","mixed sex","18_LD_DD",2349,3.5,3.97,24.92,24.7,16.88,4.21e-24,"Germany",48.18,11.61,520
"Wegener","NS",2,"RE","mixed population","mixed sex","18_LD_DD",1418,3.74,3.98,24.72,24.62,10.72,5.26e-24,"Portugal",41.15,-8.41,175
"Wegener","NS",1,"UM","mixed population","mixed sex","18_LD_DD",1178,7.64,7.45,24.22,24.28,6.85,7.54e-19,"Ukraine",48.753,30.206,214
"Wegener","NS",2,"VA","mixed population","mixed sex","18_LD_DD",1544,3.35,3.5,24.9,24.84,10.22,1.31e-19,"Russia",57.979,33.244,217
"Wegener","NS",3,"YE","mixed population","mixed sex","18_LD_DD",2150,5.11,3.78,24.3,24.76,17.22,7.71e-23,"Turkey",40.231,32.26,680
"Wegener","NS",2,"AK","mixed population","mixed sex","18_LD_LD",1236,2.01,2.17,23.78,23.72,10.6,2.73e-23,"Finland",61.1,23.52,88
"Wegener","NS",3,"GI","mixed population","mixed sex","18_LD_LD",2596,2.43,2.32,24.14,24.18,25.15,5.7e-27,"Spain",41.618,0.62,173
"Wegener","NS",3,"KA","mixed population","mixed sex","18_LD_LD",1105,4.94,3.86,23.7,24.02,8.46,1.62e-19,"Denmark",55.945,10.213,15
"Wegener","NS",3,"MA","mixed population","mixed sex","18_LD_LD",2132,4.66,3.16,23.54,24.04,17.78,9.54e-23,"Austria",48.375,15.56,572
"Wegener","NS",3,"MU","mixed population","mixed sex","18_LD_LD",1517,2.2,2.33,23.78,23.74,14.81,2.73e-23,"Germany",48.18,11.61,520
"Wegener","NS",4,"RE","mixed population","mixed sex","18_LD_LD",1478,1.67,1.8,24.02,23.96,14.72,4.1e-23,"Portugal",41.15,-8.41,175
"Wegener","NS",3,"UM","mixed population","mixed sex","18_LD_LD",2462,4.25,3.87,23.72,23.9,20.97,3.81e-23,"Ukraine",48.753,30.206,214
"Wegener","NS",4,"VA","mixed population","mixed sex","18_LD_LD",1470,3.14,2.36,24.08,24.34,11.73,2.73e-23,"Russia",57.979,33.244,217
"Wegener","NS",3,"YE","mixed population","mixed sex","18_LD_LD",1218,3.7,3.06,23.5,23.78,11.83,7.57e-17,"Turkey",40.231,32.26,680
"Wegener","NS",2,"AK","mixed population","mixed sex","29_LD_DD",1444,2.42,3.17,24.62,24.26,11.74,2.79e-12,"Finland",61.1,23.52,88
"Wegener","NS",2,"GI","mixed population","mixed sex","29_LD_DD",1673,4.29,5.68,23.76,22.8,12.03,2.67e-05,"Spain",41.618,0.62,173
"Wegener","NS",3,"KA","mixed population","mixed sex","29_LD_DD",3506,4.77,6.6,24.74,23.6,15.79,3.09e-05,"Denmark",55.945,10.213,15
