Model	Trait	Lab	Sex	Population	Estimate	SE
lmer_pop	HSM	Parsch	F	AK	394.107974937708	25.0876652431553
lmer_pop	HSM	Parsch	F	GI	337.50455604659	24.5115221576488
lmer_pop	HSM	Parsch	F	KA	369.68902393966	24.5730635747213
lmer_pop	HSM	Parsch	F	MA	421.920620581849	25.2150459475461
lmer_pop	HSM	Parsch	F	MU	400.14345828573	24.5864707646433
lmer_pop	HSM	Parsch	F	RE	323.231887851289	24.4090225181534
lmer_pop	HSM	Parsch	F	UM	395.050160638931	25.3713330101118
lmer_pop	HSM	Parsch	F	VA	384.984642775628	25.4135496590179
lmer_pop	HSM	Parsch	F	YE	312.131096698231	24.1877414912204
lmer_pop	HSM	Vieira	F	AK	362.738912230308	5.72900106585395
lmer_pop	HSM	Vieira	F	GI	333.996329900921	6.52958770342557
lmer_pop	HSM	Vieira	F	KA	363.872498342773	6.03317620380407
lmer_pop	HSM	Vieira	F	MA	372.450610507652	5.80159053232206
lmer_pop	HSM	Vieira	F	MU	331.900283785168	5.40811341836057
lmer_pop	HSM	Vieira	F	RE	377.147198249797	6.57379089958537
lmer_pop	HSM	Vieira	F	UM	364.562663449509	5.82830198329718
lmer_pop	HSM	Vieira	F	VA	357.419017593505	5.51727190253663
lmer_pop	HSM	Vieira	F	YE	362.175513535311	5.68732864009083
lmer_pop	HSM	Parsch	M	AK	382.380224493639	25.9950183365633
lmer_pop	HSM	Parsch	M	GI	285.061832523094	26.0006961767813
lmer_pop	HSM	Parsch	M	KA	339.670233272902	25.9468826039625
lmer_pop	HSM	Parsch	M	MA	387.411564839613	26.0046775757547
lmer_pop	HSM	Parsch	M	MU	352.286100234086	25.9471866003394
lmer_pop	HSM	Parsch	M	RE	263.135389128366	25.9504330723937
lmer_pop	HSM	Parsch	M	UM	369.252725725731	26.2519447227925
lmer_pop	HSM	Parsch	M	VA	353.081869021315	26.2448082543391
lmer_pop	HSM	Parsch	M	YE	257.98210608724	25.7941521387771
lmer_pop	HSM	Vieira	M	AK	343.597214832189	9.40669083566098
lmer_pop	HSM	Vieira	M	GI	277.185694341649	11.1692595359121
lmer_pop	HSM	Vieira	M	KA	326.787051930491	9.78942119366237
lmer_pop	HSM	Vieira	M	MA	319.604861189006	10.2443625623836
lmer_pop	HSM	Vieira	M	MU	306.20194019397	9.86930429381882
lmer_pop	HSM	Vieira	M	RE	327.221001357534	11.8972457451098
lmer_pop	HSM	Vieira	M	UM	314.506130884785	9.64560697195123
lmer_pop	HSM	Vieira	M	VA	320.015641190187	10.4340258331719
lmer_pop	HSM	Vieira	M	YE	324.994921862007	10.4581636114477
