Trait	Lab	Sex	Population	Estimate	SE
LS	Flatt	F	AK	60.0334083471987	0.913188602177636
LS	Flatt	F	GI	42.9476510696144	0.894549478436799
LS	Flatt	F	KA	55.4245728549657	0.897220677995132
LS	Flatt	F	MA	50.5195038484177	0.907358112300715
LS	Flatt	F	MU	57.4201509703876	0.910317968240499
LS	Flatt	F	RE	45.6074076641402	0.903840027616973
LS	Flatt	F	UM	51.6707988516064	0.920765096702145
LS	Flatt	F	VA	56.2710886458523	0.9109429708573
LS	Flatt	F	YE	49.6624212036329	0.901090326164107
LS	Parsch	F	AK	59.6254002624653	2.99951182963867
LS	Parsch	F	GI	54.9091890452623	3.00565750038223
LS	Parsch	F	KA	56.8662492693028	3.00339774116221
LS	Parsch	F	MA	47.306385648494	3.01067953873076
LS	Parsch	F	MU	54.0138531960151	3.0034708849
LS	Parsch	F	RE	46.4384279345311	3.00142856936216
LS	Parsch	F	UM	49.0834928269676	3.00392806042859
LS	Parsch	F	VA	56.4202896885996	2.99698736157924
LS	Parsch	F	YE	54.5916888659617	3.00747835134398
LS	Pasyukova	F	AK	43.6937500000375	1.21326995181792
LS	Pasyukova	F	GI	43.5605769230764	1.57832743681955
LS	Pasyukova	F	KA	46.4793749999977	1.27248826068503
LS	Pasyukova	F	MA	43.3337499999977	1.27248826068503
LS	Pasyukova	F	MU	43.6374999999998	1.27248826068506
LS	Pasyukova	F	RE	43.895312499999	1.42268512573112
LS	Pasyukova	F	UM	39.0402777777762	1.34132039986361
LS	Pasyukova	F	VA	43.7718749999976	1.27248826068503
LS	Pasyukova	F	YE	41.0212499999978	1.27248826068503
LS	Flatt	M	AK	51.6193724407008	0.873940234299286
LS	Flatt	M	GI	50.8448055814112	0.850720794770603
LS	Flatt	M	KA	56.0643441963427	0.854294171598216
LS	Flatt	M	MA	53.0392734487776	0.850189751440876
LS	Flatt	M	MU	55.6447821922464	0.866743657749784
LS	Flatt	M	RE	50.4209953126046	0.85100574649731
LS	Flatt	M	UM	52.3560219872122	0.853584627988671
LS	Flatt	M	VA	52.0357560231378	0.879553792945636
LS	Flatt	M	YE	52.3283191841439	0.853142158375161
LS	Parsch	M	AK	60.4728775594441	2.08946712018516
LS	Parsch	M	GI	51.3687246616379	2.08728066620981
LS	Parsch	M	KA	56.794761948721	2.08700075075196
LS	Parsch	M	MA	50.9582546576387	2.08913245857869
LS	Parsch	M	MU	58.6013863827729	2.07993213737786
LS	Parsch	M	RE	49.2206750399913	2.08143320350517
LS	Parsch	M	UM	56.8729886459794	2.08886515968398
LS	Parsch	M	VA	59.7414205744067	2.08566048640295
LS	Parsch	M	YE	51.6755621320386	2.0878152362175
LS	Pasyukova	M	AK	50.2818181818668	1.37217366354891
LS	Pasyukova	M	GI	47.5682692307694	1.78504325275291
LS	Pasyukova	M	KA	53.3149999999985	1.4391478795555
LS	Pasyukova	M	MA	47.3649999999985	1.4391478795555
LS	Pasyukova	M	MU	50.4099999999998	1.43914787955551
LS	Pasyukova	M	RE	48.1124999999995	1.6090162441804
LS	Pasyukova	M	UM	43.4201388888881	1.51699506306569
LS	Pasyukova	M	VA	49.0887499999984	1.4391478795555
LS	Pasyukova	M	YE	44.281448553736	1.43915277256912
