$contrasts
$emmeans
 Population emmean    SE   df lower.CL upper.CL
 AK          0.885 0.146 1.61  0.08327     1.69
 GI          0.807 0.164 2.58  0.23246     1.38
 KA          0.751 0.153 1.97  0.08242     1.42
 MA          0.762 0.149 1.73  0.01639     1.51
 MU          0.814 0.148 1.68  0.04811     1.58
 RE          0.777 0.153 1.97  0.10608     1.45
 UM          0.696 0.157 2.13  0.05857     1.33
 VA          0.816 0.146 1.58 -0.00195     1.63
 YE          0.816 0.153 1.94  0.13727     1.49

Degrees-of-freedom method: kenward-roger 
Confidence level used: 0.95 

$contrasts
 contrast  estimate    SE  df t.ratio p.value
 AK - GI   0.077545 0.128 123   0.604  0.9996
 AK - KA   0.133660 0.116 117   1.151  0.9648
 AK - MA   0.122608 0.106 122   1.154  0.9642
 AK - MU   0.070689 0.105 119   0.676  0.9990
 AK - RE   0.107888 0.114 111   0.942  0.9899
 AK - UM   0.188086 0.117 112   1.609  0.7982
 AK - VA   0.068073 0.101 115   0.677  0.9990
 AK - YE   0.068736 0.112 126   0.611  0.9995
 GI - KA   0.056114 0.138 121   0.406  1.0000
 GI - MA   0.045063 0.131 124   0.343  1.0000
 GI - MU  -0.006857 0.130 122  -0.053  1.0000
 GI - RE   0.030343 0.137 116   0.221  1.0000
 GI - UM   0.110541 0.140 116   0.789  0.9970
 GI - VA  -0.009472 0.127 119  -0.075  1.0000
 GI - YE  -0.008810 0.136 126  -0.065  1.0000
 KA - MA  -0.011052 0.120 119  -0.092  1.0000
 KA - MU  -0.062971 0.118 117  -0.532  0.9998
 KA - RE  -0.025771 0.125 110  -0.206  1.0000
 KA - UM   0.054426 0.129 111   0.421  1.0000
 KA - VA  -0.065587 0.116 114  -0.566  0.9997
 KA - YE  -0.064924 0.125 122  -0.520  0.9999
 MA - MU  -0.051919 0.108 120  -0.482  0.9999
 MA - RE  -0.014719 0.118 112  -0.125  1.0000
 MA - UM   0.065478 0.120 113   0.547  0.9998
 MA - VA  -0.054535 0.104 115  -0.526  0.9998
 MA - YE  -0.053872 0.116 126  -0.466  0.9999
 MU - RE   0.037200 0.116 110   0.319  1.0000
 MU - UM   0.117397 0.118 111   0.992  0.9859
 MU - VA  -0.002616 0.102 112  -0.026  1.0000
 MU - YE  -0.001953 0.114 124  -0.017  1.0000
 RE - UM   0.080198 0.128 106   0.629  0.9994
 RE - VA  -0.039815 0.113 106  -0.352  1.0000
 RE - YE  -0.039153 0.123 116  -0.318  1.0000
 UM - VA  -0.120013 0.115 107  -1.047  0.9801
 UM - YE  -0.119350 0.125 117  -0.951  0.9893
 VA - YE   0.000663 0.110 120   0.006  1.0000

Degrees-of-freedom method: kenward-roger 
P value adjustment: tukey method for comparing a family of 9 estimates 


$letters
  Population    emmean        SE       df     lower.CL upper.CL cld
1         AK 0.8845618 0.1460840 1.607297  0.083270600 1.685853   a
2         GI 0.8070165 0.1642170 2.577643  0.232457084 1.381576   a
3         KA 0.7509020 0.1533701 1.973452  0.082423222 1.419381   a
4         MA 0.7619540 0.1490662 1.733950  0.016390584 1.507517   a
5         MU 0.8138730 0.1479993 1.684789  0.048110209 1.579636   a
6         RE 0.7766734 0.1534373 1.967953  0.106075761 1.447271   a
7         UM 0.6964756 0.1568253 2.125814  0.058572107 1.334379   a
8         VA 0.8164887 0.1459404 1.579989 -0.001953756 1.634931   a
9         YE 0.8158261 0.1531743 1.941208  0.137268082 1.494384   a

