Model	Trait	Lab	Sex	Population	Estimate	SE
lmer_pop	DT_P	Schmidt	NA	AK	127.502046525264	2.86684416517006
lmer_pop	DT_P	Schmidt	NA	GI	140.422391647101	3.74202930088331
lmer_pop	DT_P	Schmidt	NA	KA	127.292288931061	2.88276821567365
lmer_pop	DT_P	Schmidt	NA	MA	132.003669544701	2.95608330498785
lmer_pop	DT_P	Schmidt	NA	MU	129.729903143323	2.86457010549383
lmer_pop	DT_P	Schmidt	NA	RE	135.269759066547	3.34679375979697
lmer_pop	DT_P	Schmidt	NA	UM	131.160825938646	3.29889705776366
lmer_pop	DT_P	Schmidt	NA	VA	140.765350579933	2.96567583912474
lmer_pop	DT_P	Schmidt	NA	YE	135.200245975657	2.89049290909694
lmer_pop	DT_A	Gibert	F	AK	222.379651711481	1.57097131786607
lmer_pop	DT_A	Gibert	F	GI	226.71635510077	1.80965471327477
lmer_pop	DT_A	Gibert	F	KA	223.357831663018	1.60366997663945
lmer_pop	DT_A	Gibert	F	MA	222.089753133096	1.6079865748245
lmer_pop	DT_A	Gibert	F	MU	223.6874170032	1.60289556797205
lmer_pop	DT_A	Gibert	F	RE	227.851521991918	1.77068244216396
lmer_pop	DT_A	Gibert	F	UM	225.48550729894	1.67025040698835
lmer_pop	DT_A	Gibert	F	VA	223.889446650254	1.60953309038662
lmer_pop	DT_A	Gibert	F	YE	217.801865863262	1.63023752860123
lmer_pop	DT_A	Grath	F	AK	309.625713870422	1.72205691104871
lmer_pop	DT_A	Grath	F	MU	305.630595684809	1.75594147243694
lmer_pop	DT_A	Grath	F	RE	321.616198159429	3.59868731184894
lmer_pop	DT_A	Hoedjes	F	AK	231.278110894337	1.28955021760392
lmer_pop	DT_A	Hoedjes	F	GI	237.943654601447	1.48632578464265
lmer_pop	DT_A	Hoedjes	F	KA	231.098325236221	1.29766792577392
lmer_pop	DT_A	Hoedjes	F	MA	233.211074969664	1.30299912293928
lmer_pop	DT_A	Hoedjes	F	MU	229.50105441886	1.29576628644406
lmer_pop	DT_A	Hoedjes	F	RE	237.728140296062	1.4871426798575
lmer_pop	DT_A	Hoedjes	F	UM	232.195331007551	1.39750546907322
lmer_pop	DT_A	Hoedjes	F	VA	229.880376176502	1.30600644141077
lmer_pop	DT_A	Hoedjes	F	YE	233.176619370518	1.32175351435901
lmer_pop	DT_A	Schmidt	F	AK	218.13853571685	4.50347410326583
lmer_pop	DT_A	Schmidt	F	GI	226.606476160903	6.22899403568032
lmer_pop	DT_A	Schmidt	F	KA	220.027363022528	4.62169945556594
lmer_pop	DT_A	Schmidt	F	MA	224.371840283376	4.64867196159882
lmer_pop	DT_A	Schmidt	F	MU	221.156751814936	4.49070778312634
